Cost_Billion_Dollars,Name,Country,Reactor_Type,Gross_Capacity_MWe,Thermal_Capacity_MWt,Efficiency_Percentage,Starting_Year,Duration,Average_Inflation_Percentage,Average_Concrete_Price,Average_Steel_Price
2.0, LING AO-1,CHINA,PWR,990,2905,34.07,1997,5,2.31,144.36,117.22
2.0, LING AO-2,CHINA,PWR,990,2905,34.07,1997,5,2.31,144.36,117.22
1.9, NINGDE-1,CHINA,PWR,1089,2905,37.48,2008,4,1.62,214.08,229.57
1.9, NINGDE-2,CHINA,PWR,1089,2905,37.48,2008,5,1.59,215.51,229.05
1.9, NINGDE-3,CHINA,PWR,1089,2905,37.48,2010,5,1.68,223.21,228.59
1.9, NINGDE-4,CHINA,PWR,1089,2905,37.48,2010,6,1.61,227.41,222.65
1.44, QINSHAN 3-1,CHINA,PHWR,728,2064,35.27,1998,4,2.5,146.11,115.37
1.44, QINSHAN 3-2,CHINA,PHWR,728,2064,35.27,1998,5,2.45,146.88,116.39
3.65, SANMEN-1,CHINA,PWR,1251,3400,36.79,2009,9,1.77,234.2,219.23
3.65, SANMEN-2,CHINA,PWR,1251,3400,36.79,2009,9,1.77,234.2,219.23
15.7, SHIDAO BAY-1,CHINA,HTGR,211,500,42.44,2012,9,1.86,255.98,231.87
3.75, TAISHAN-1,CHINA,PWR,1750,4590,38.12,2009,9,1.77,234.2,219.23
3.75, TAISHAN-2,CHINA,PWR,1750,4590,38.12,2010,9,1.78,240.24,223.05
1.6, TIANWAN-1,CHINA,PWR,1060,3000,35.33,1999,6,2.68,153.99,223.05
1.6, TIANWAN-2,CHINA,PWR,1060,3000,35.33,2000,7,2.69,167.57,147.86
1.7, YANGJIANG-1,CHINA,PWR,1086,2905,37.38,2008,5,1.59,215.51,229.05
1.7, YANGJIANG-2,CHINA,PWR,1086,2905,37.38,2009,6,1.67,222.44,222.22
1.7, YANGJIANG-3,CHINA,PWR,1086,2905,37.38,2010,5,1.68,223.21,228.59
1.7, YANGJIANG-4,CHINA,PWR,1086,2905,37.38,2012,4,1.12,233.59,216.35
1.7, YANGJIANG-5,CHINA,PWR,1086,2905,37.38,2013,5,1.52,247.36,215.14
1.7, YANGJIANG-6,CHINA,PWR,1086,2905,37.38,2014,5,1.55,256.62,214.44
